,created,video_1,link,link_vid,embeddings_1,is_duplicate,video_2,embeddings_2,Inception_cosin,Inception_eucld,link_vid_2,UNet,audio,length_ratio
0,2024-06-02 07:19:29,199d5f08-49ae-4f9a-8fc6-52b251c4e958,https://s3.ritm.media/yappy-db-duplicates/199d5f08-49ae-4f9a-8fc6-52b251c4e958.mp4,/content/199d5f08-49ae-4f9a-8fc6-52b251c4e958.mp4,[0.03004122 0.00356024 0.01973773 ... 0.01205564 0.02994104 0.00415179],0,e7a4f007-250d-4e58-89b8-4b0166dd9076,[0.02694302 0.01894531 0.01045882 ... 0.00969399 0.01715281 0.01263326],0.6210800099169692,0.6850886344909668,/content/e7a4f007-250d-4e58-89b8-4b0166dd9076.mp4,0.6163395941257477,0.4307821999057384,0.8
1,2024-06-01 14:03:21,283e4172-e617-4726-8ded-adb9d6ba0b37,https://s3.ritm.media/yappy-db-duplicates/283e4172-e617-4726-8ded-adb9d6ba0b37.mp4,/content/283e4172-e617-4726-8ded-adb9d6ba0b37.mp4,[0.02125634 0.02259506 0.00465    ... 0.02778104 0.03380308 0.00560074],0,3b447013-9202-415d-ae15-b1d76ce8e060,[0.01587087 0.00949055 0.00956784 ... 0.0058272  0.02421756 0.02254161],0.6767608852228966,1.0020352602005005,/content/3b447013-9202-415d-ae15-b1d76ce8e060.mp4,0.6059745252132416,0.4980555980572149,0.17488659793814432
2,2024-06-14 13:05:33,918a9b20-38df-4079-98d3-29fef669c3d2,https://s3.ritm.media/yappy-db-duplicates/918a9b20-38df-4079-98d3-29fef669c3d2.mp4,/content/918a9b20-38df-4079-98d3-29fef669c3d2.mp4,[0.00390616 0.01531434 0.01035451 ... 0.00375027 0.00037639 0.00550838],1,3b48ffa3-db42-4d8c-8f37-6f5cbe2b406c,[0.01469634 0.0181403  0.01914467 ... 0.01229533 0.00821234 0.00122572],0.7759777890361421,0.442338764667511,/content/3b48ffa3-db42-4d8c-8f37-6f5cbe2b406c.mp4,0.5951213538646698,0.9999955442804564,0.0
4,2024-06-02 07:41:49,4f59f7c9-4091-4565-bbbd-16ed3ba51cad,https://s3.ritm.media/yappy-db-duplicates/4f59f7c9-4091-4565-bbbd-16ed3ba51cad.mp4,/content/4f59f7c9-4091-4565-bbbd-16ed3ba51cad.mp4,[0.01235006 0.00752949 0.00796273 ... 0.01561728 0.01145939 0.01237502],0,0d6ea6bd-2997-402c-9ecc-286c479148e6,[0.00583985 0.01034205 0.02036907 ... 0.02207059 0.02571183 0.02076644],0.6576997043764962,0.5947688817977905,/content/0d6ea6bd-2997-402c-9ecc-286c479148e6.mp4,0.5895157754421234,0.2869606640323594,0.8954285714285715
5,2024-06-02 17:48:57,2064eb76-9ff1-445a-8eae-2b47e757c9aa,https://s3.ritm.media/yappy-db-duplicates/2064eb76-9ff1-445a-8eae-2b47e757c9aa.mp4,/content/2064eb76-9ff1-445a-8eae-2b47e757c9aa.mp4,[0.01342243 0.0030781  0.02574212 ... 0.02912948 0.01993767 0.02152764],0,55d1894a-4052-4e77-9769-f2511d3bd786,[0.00015509 0.00694097 0.00827432 ... 0.00013965 0.01636258 0.00360101],0.5816687280646871,0.7184808850288391,/content/55d1894a-4052-4e77-9769-f2511d3bd786.mp4,0.604022741317749,0.356689426475407,0.7593134535809695
6,2024-06-01 09:25:55,14d72de6-00c4-4f9d-b391-b3fd4de99aa5,https://s3.ritm.media/yappy-db-duplicates/14d72de6-00c4-4f9d-b391-b3fd4de99aa5.mp4,/content/14d72de6-00c4-4f9d-b391-b3fd4de99aa5.mp4,[0.01007779 0.00647724 0.01581047 ... 0.00745616 0.01258236 0.01210576],0,b5699703-e75a-4ea4-a8f0-1327108be3cb,[0.00806982 0.00909157 0.01453602 ... 0.00771247 0.00981759 0.00282674],0.6189755608190189,0.644223690032959,/content/b5699703-e75a-4ea4-a8f0-1327108be3cb.mp4,0.604547381401062,0.48286098978948067,0.7658802177858439
7,2024-06-01 05:07:01,076630e3-d0b9-4f2f-b886-69e99944c25e,https://s3.ritm.media/yappy-db-duplicates/076630e3-d0b9-4f2f-b886-69e99944c25e.mp4,/content/076630e3-d0b9-4f2f-b886-69e99944c25e.mp4,[0.0044659  0.04073155 0.00665712 ... 0.01114133 0.00666976 0.00973728],0,2f2928c2-a672-41fb-a951-d29643aabd46,[0.00172359 0.01220904 0.04398924 ... 0.0023948  0.03623654 0.00250576],0.7304402083245924,0.5126813650131226,/content/2f2928c2-a672-41fb-a951-d29643aabd46.mp4,0.6125896871089935,0.13118245669048467,0.21099116781158
8,2024-06-01 11:23:21,2aec9e87-2707-4749-b299-87cfb887bafa,https://s3.ritm.media/yappy-db-duplicates/2aec9e87-2707-4749-b299-87cfb887bafa.mp4,/content/2aec9e87-2707-4749-b299-87cfb887bafa.mp4,[0.00562075 0.00771407 0.04179036 ... 0.00718066 0.00282971 0.00195525],0,52900560-413e-4c3b-8870-69b563eaa63a,[0.00882578 0.01172811 0.01940128 ... 0.0172845  0.03477148 0.00502185],0.6377658283038374,0.6527408957481384,/content/52900560-413e-4c3b-8870-69b563eaa63a.mp4,0.600039005279541,0.7179162954135269,0.9207865168539325
9,2024-06-09 21:31:21,357b469e-ac62-40fe-ae50-231cea2cadc7,https://s3.ritm.media/yappy-db-duplicates/357b469e-ac62-40fe-ae50-231cea2cadc7.mp4,/content/357b469e-ac62-40fe-ae50-231cea2cadc7.mp4,[0.01735599 0.00663211 0.01586808 ... 0.00431778 0.01966079 0.0119992 ],0,31b39d61-43f2-404b-9ced-a95d432bd467,[0.00697311 0.00934    0.00296358 ... 0.03807371 0.01818587 0.01826555],0.6168134887495261,0.6886023879051208,/content/31b39d61-43f2-404b-9ced-a95d432bd467.mp4,0.6075215339660645,0.0464469440651184,0.8127490039840638
10,2024-06-03 07:08:05,256c0234-79e3-46e1-a22e-6f6294c3ef8d,https://s3.ritm.media/yappy-db-duplicates/256c0234-79e3-46e1-a22e-6f6294c3ef8d.mp4,/content/256c0234-79e3-46e1-a22e-6f6294c3ef8d.mp4,[0.00362125 0.02925423 0.02870106 ... 0.02806985 0.04397298 0.00486444],0,57e7f0f5-26be-49a6-a0be-1d3b2ac36767,[0.01206066 0.01301548 0.02223187 ... 0.02298831 0.0235524  0.0089724 ],0.6970376906276979,0.5751275420188904,/content/57e7f0f5-26be-49a6-a0be-1d3b2ac36767.mp4,0.5990537106990814,0.9883579937026611,0.5665961945031712
